id,value
hsa-mir-26a-2,4
hsa-mir-26b,4
hsa-mir-296,4
hsa-mir-302a,4
hsa-mir-302c,4
hsa-mir-302d,4
hsa-mir-30a,4
hsa-mir-30b,4
hsa-mir-30c-2,4
hsa-mir-30d,4
hsa-mir-32,4
hsa-mir-320a,4
hsa-mir-328,4
hsa-mir-339,4
hsa-mir-345,4
hsa-mir-361,4
hsa-mir-365a,4
hsa-mir-365b,4
hsa-mir-367,4
hsa-mir-373,4
hsa-mir-378a,4
hsa-mir-409,4
hsa-mir-423,4
hsa-mir-449a,4
hsa-mir-449b,4
hsa-mir-451a,4
hsa-mir-494,4
hsa-mir-503,4
hsa-mir-542,4
hsa-mir-625,4
hsa-mir-663a,4
hsa-mir-92a-2,4
hsa-mir-92b,4
hsa-mir-96,4
hsa-mir-99a,4
hsa-mir-99b,4
HYKK,4
IRF8,4
KDM5C,4
KMT2A,4
LINC00506,4
LMTK2,4
LOC105375751,4
LOC338694,4
LOC643623,4
LPP,4
LRIG1,4
LSP1,4
MDM2,4
MGMT,4
MLLT10,4
MYD88,4
MYNN,4
NRG1,4
NTRK2,4
NUP93,4
OCA2,4
PARVB,4
PCAT19,4
PDE4D,4
PDLIM5,4
PHLDB1,4
PIK3CD,4
PLCE1,4
PPP6C,4
PTPRB,4
RAD51C,4
RFX6,4
SP140,4
SRSF2,4
STAG2,4
TENM3,4
UCK2,4
YAP1,4
ZNF804B,4
ADAMTS18,3
ADH1B,3
ALDH1A2,3
ALS2CR12,3
ASXL1,3
BAG6,3
BARD1,3
BPTF,3
BTNL2,3
C20orf187,3
C5orf66,3
CASC15,3
CCND2-AS1,3
CD274,3
CDH13,3
CDK10,3
CEBPA,3
CHMP4C,3
CIC,3
COL1A1,3
CTBP2,3
CTD-2194D22.4,3
DCBLD1,3
DIRC3,3
DPP6,3
EBF1,3
ELMO1,3
FARP2,3
FAS,3
FRY,3
GBAP1,3
GLI1,3
GRM7,3
H3F3A,3
HCN1,3
HEATR3,3
HIF1A,3
HLA-DQB2,3
HOXD3,3
hsa-mir-103a-2,3
hsa-mir-10a,3
hsa-mir-128-1,3
hsa-mir-130a,3
hsa-mir-134,3
hsa-mir-135a-1,3
hsa-mir-135a-2,3
hsa-mir-139,3
hsa-mir-144,3
hsa-mir-151b,3
hsa-mir-186,3
hsa-mir-187,3
hsa-mir-190a,3
hsa-mir-192,3
hsa-mir-194-2,3
hsa-mir-196b,3
hsa-mir-19b-2,3
hsa-mir-208a,3
hsa-mir-216a,3
hsa-mir-217,3
hsa-mir-219-1,3
hsa-mir-23a,3
hsa-mir-299,3
hsa-mir-301a,3
hsa-mir-302e,3
