id,value
MYO6,1
MYOD1,1
MYRF,1
MYRIP,1
NAA25,1
NAALADL2,1
NALCN,1
NAPRT,1
NBAS,1
NCOR2,1
NDUFAF6,1
NDUFAF7,1
NEB,1
NFATC2,1
NHS,1
NOTCH4,1
NPFFR1,1
NSD1,1
NT5E,1
NTN1,1
NUMBL,1
NXPH1,1
NYAP2,1
OBFC1,1
OR2W3,1
OR8S21P,1
OSBP2,1
OSBPL6,1
PAG1,1
PAK1,1
PARD3,1
PARP1,1
PARVG,1
PAX9,1
PBX1,1
PCDH9,1
PCSK9,1
PDCD4,1
PDE1A,1
PDE3A,1
PDE4A,1
PDE4DIP,1
PDPK1,1
PDX1-AS1,1
PDZD2,1
PFKFB3,1
PGR,1
PHACTR2,1
PHLPP2,1
PIEZO2,1
PIGH,1
PIGU,1
PIP4K2A,1
PITX1,1
PKD1L3,1
PKHD1,1
PKNOX2,1
PMS1,1
PNMAL1,1
POLQ,1
POLR1D,1
POLR2A,1
POU5F1,1
PPFIBP2,1
PPM1D,1
PPP1R15A,1
PPP2R5E,1
PPT2,1
PRB2,1
PRC1,1
PRDM14,1
PRDM15,1
PREX1,1
PRKAA2,1
PRKACA,1
PRKACB,1
PRKAR2B,1
PRKCI,1
PRKD2,1
PROM1,1
PRPF18,1
PRSS23,1
PRTG,1
PSD3,1
PSMB8,1
PTCSC3,1
PTGER4,1
PTGS2,1
PTP4A3,1
PTPDC1,1
PTPN2,1
PTPRC,1
PTTG1,1
PYGL,1
PYY,1
QPCT,1
RAD21,1
RAD23B,1
RAD51D,1
RAD52,1
RAD54L,1
RARA,1
RARS,1
RBMS3,1
REL,1
RFWD3,1
RFX7,1
RGS17,1
RICTOR,1
RIT2,1
RMDN2,1
RMST,1
RNASE9,1
RNF146,1
RNF149,1
RNF39,1
RNF6,1
RNGTT,1
ROBO4,1
ROPN1L,1
ROR1,1
RPL13AP3,1
RPS6,1
RRM1,1
RRM2,1
RSF1,1
RSPH3,1
RSPO2,1
RXFP1,1
SAXO1,1
SBF2,1
SBSPON,1
SCAF8,1
SCARA5,1
SCARB1,1
SDHB,1
SDHC,1
SEMA5B,1
SERPINB6,1
SEZ6L2,1
SGK1,1
SH2D4B,1
SIAH2,1
SIDT1,1
SIRT1,1
SIT1,1
SLC12A2,1
SLC13A1,1
SLC14A2,1
SLC17A8,1
SLC22A23,1
SLC29A1,1
SLC35D2,1
SLC39A6,1
SLC44A4,1
SLC44A5,1
SLC45A3,1
SLC6A6,1
SLC9A9,1
SLCO1A2,1
SLCO3A1,1
SLFN11,1
SMARCAD1,1
SMG6,1
SNAP25-AS1,1
SNCAIP,1
SNX17,1
SOCS1,1
SORCS1,1
SOX10,1
SOX6,1
SP110,1
SPARCL1,1
SPATA16,1
SPATA33,1
SPEF2,1
SPHK1,1
SPHKAP,1
SRGAP1,1
SRP14-AS1,1
SSBP2,1
SSX1,1
SSX2,1
SSX4,1
ST3GAL1,1
ST6GALNAC3,1
ST8SIA6,1
STAG3,1
STAM2,1
STARD13,1
STAT4,1
STMN1,1
STMN3,1
STXBP4,1
SUCLG2,1
SUGCT,1
SYNE3,1
SYNJ2,1
SYT6,1
TAB2,1
TANC1,1
TBK1,1
TBX3,1
TBXAS1,1
TCN2,1
TDP2,1
TFDP2,1
TFF3,1
TGFA,1
TGM5,1
THBS2,1
THBS3,1
TIMP1,1
TMEM132C,1
TMEM173,1
TMTC1,1
TNC,1
TNFRSF13B,1
TNFRSF19,1
TNFRSF6B,1
TNKS,1
TPH2,1
TRIM8,1
TRIO,1
TRMT44,1
TRPC7,1
TRPS1,1
TSEN2,1
TSNAX-DISC1,1
TSPAN15,1
TTF1,1
TUBA1C,1
TWIST1,1
UBAC2,1
UGT1A,1
ULK3,1
UPF2,1
USP10,1
VAC14,1
VAMP8,1
VAV3,1
VCAN,1
VEPH1,1
VPS53,1
VWDE,1
WDPCP,1
WEE1,1
WNK1,1
WNT2B,1
WWTR1,1
XXYLT1,1
ZBTB20,1
ZBTB38,1
ZBTB7C,1
ZC3H11A,1
ZEB1,1
ZFPM1,1
ZGPAT,1
ZMIZ1-AS1,1
ZNF230,1
ZNF254,1
ZNF280B,1
ZNF536,1
ZNF577,1
ZNF613,1
ZNF652,1
ZNF670-ZNF695,1
ZNF701,1
